Date,Meal,Entry,Food,Food Score,calories (kcal),carbs (g),fat (g),protein (g),sodium (mg),sugar (g)
2/15/2018,Breakfast,"Tillamook - Cheddar Cheese - Medium, 1 oz (28g)",Cheddar Cheese,Unhealthy,110,0,9,7,170,0
2/15/2018,Lunch,"Tortillas - Chips, 18 chips",Tortilla Chips,Unhealthy,280,38,14,4,0,0
2/15/2018,Lunch,"Chipotle - Pico, 3.5 oz",Salsa,Neutral,20,4,0,1,470,3
2/15/2018,Lunch,"Chipotle - Chicken Burrito Bowl, 1 Bowl",Burrito,Unhealthy,625,60,23,50,"1,425",5
2/15/2018,Dinner,"Carraba's - Manicotti, 2.5 Noodles",Manicotti,Unhealthy,709,60,34,54,"1,523",8
2/15/2018,Dinner,"Celentano - Ravioli, 8 ravioli",Ravioli,Unhealthy,460,72,12,18,500,4
2/15/2018,Dinner,"Aladdin - Garlic Bread, 2 Slice",Garlic Bread,Unhealthy,276,27,17,5,486,1
2/15/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 1 ea",Cookies,Unhealthy,170,24,7,2,120,15
2/16/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/16/2018,Lunch,"Trader Joe's - Chicken-Less Mandarin Orange Morsels, 0.7 container (20 pieces ea.)",Orange Chicken,Unhealthy,448,55,15,22,798,24
2/16/2018,Lunch,"Cauliflower - Fried Rice, 0.93 cup",Cauliflower Rice,Healthy,76,10,2,6,608,1
2/16/2018,Lunch,"Goya - Cannellini Beans, 0.5 cup (122 g)",Cannellini Beans,Healthy,80,18,0,6,390,0
2/16/2018,Drinks,"Wine - Table, red, 2 glass (3.5 fl oz)",Red Wine,Unhealthy,148,4,0,0,10,0
2/16/2018,Dinner,"Priano - Pesto, 4 Tbsp",Pesto,Unhealthy,300,4,28,4,720,0
2/16/2018,Dinner,"Celentano - Ravioli, 9 ravioli",Ravioli,Unhealthy,518,81,14,20,563,5
2/16/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/16/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/17/2018,Breakfast,"Blueberries, 1 cup",Blueberries,Healthy,85,21,1,1,1,15
2/17/2018,Lunch,"Fish - Salmon, Wild, Baked, 10 oz",Fish,Healthy,482,0,28,56,124,0
2/17/2018,Lunch,"Spinach - Raw, 2 cup",Spinach,Healthy,14,2,0,2,47,0
2/17/2018,Dinner,"Generic - Tofu Veggie Stirfry, 2.5 serving 350g",Tofu,Healthy,625,51,33,27,25,18
2/17/2018,Drinks,"Boulevard - Unfiltered Wheat Beer, 12 oz",Beer,Unhealthy,135,17,0,0,0,0
2/17/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/17/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/17/2018,Dessert,"Starbucks - Brownie, 1.33 brownie",Brownie,Unhealthy,545,61,32,8,100,40
2/17/2018,Snacks,"Milk - Whole, 3.25% milkfat, 2 cup",Whole Milk,Neutral,293,22,16,16,195,26
2/18/2018,Breakfast,"Cuties - Clementines, 168 g (Approx 2)",Oranges,Healthy,80,17,1,1,0,13
2/18/2018,Lunch,"Cooked Mussels - Mussels, 4 Medium Mussel",Mussels,Neutral,48,1,2,4,216,0
2/18/2018,Lunch,"Great Value - Fish Fillets, 2 f fillets",Fish,Healthy,240,19,12,9,750,1
2/18/2018,Lunch,"Member's Mark - Angus Roast Beef-2 Slices, 50 slices",Beef,Neutral,575,0,0,100,"2,325",0
2/18/2018,Lunch,"Sushi - Edamane, 5 oz",Edamame,Healthy,100,9,3,7,260,2
2/18/2018,Dinner,"Goya - Cannellini Beans, 0.25 cup (122 g)",Cannellini Beans,Healthy,40,9,0,3,195,0
2/18/2018,Dinner,"Morrison - Brown Rice, 0.3 cup",Brown Rice,Healthy,74,15,1,2,24,0
2/18/2018,Dinner,"Black Beans, 0.25 cup",Black Beans,Healthy,55,10,1,4,5,1
2/18/2018,Dinner,"Smoked Cheese - Smoked Cheddar Cheese, 2 oz or 28grams",Cheddar Cheese,Unhealthy,120,0,10,8,200,0
2/18/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/18/2018,Dessert,"Innofoods - Coconut Clusters, 60 g",Coconut Clusters,Neutral,320,22,26,6,120,14
2/18/2018,Snacks,"Barber Foods - Chicken Parmesan, 0.9 piece",Chicken Parmesan,Unhealthy,225,12,13,18,441,2
2/18/2018,Snacks,"Smoked Cheese - Smoked Cheddar Cheese, 2 oz or 28grams",Cheddar Cheese,Unhealthy,120,0,10,8,200,0
2/18/2018,Snacks,"Homemade - Quick Tomato Sauce, 0.5 cup",Tomato Sauce,Neutral,60,6,2,2,44,4
2/18/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/18/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/19/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/19/2018,Lunch,"Barber Foods - Chicken Parmesan, 2.3 piece",Orange Chicken,Unhealthy,575,30,32,46,"1,127",5
2/19/2018,Lunch,"Pasta - Angel Hair Pasta, 1 oz",Pasta,Unhealthy,100,21,1,4,0,1
2/19/2018,Lunch,"Homemade - Quick Tomato Sauce, 0.5 cup",Tomato Sauce,Neutral,60,6,2,2,44,4
2/19/2018,Lunch,"Cheese - Mozzerella, 1 oz",Mozzerella Cheese,Unhealthy,70,0,6,6,177,0
2/19/2018,Dinner,"Chipotle (Chicken & Steak) - Burrito, 1 burrito",Burrito,Unhealthy,"1,270",131,48,82,"2,590",9
2/19/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/19/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/20/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/20/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
2/20/2018,Lunch,"Mrs.t's - Perogies, 14 pieces",Perogies,Unhealthy,770,147,11,25,"1,820",4
2/20/2018,Lunch,"Homemade - Quick Tomato Sauce, 1 cup",Tomato Sauce,Neutral,120,12,5,4,88,8
2/20/2018,Dinner,"Ohiohealth - Healthy Buffalo Cauliflower Bites, 3 Cup",Cauliflower Bites,Healthy,141,15,6,4,0,0
2/20/2018,Dinner,"Pasta - Angel Hair Pasta, 1 oz",Pasta,Unhealthy,100,21,1,4,0,1
2/20/2018,Dinner,"Priano - Pesto, 2 Tbsp",Pesto,Unhealthy,150,2,14,2,360,0
2/20/2018,Snacks,"Kirlands - unsalted mixed nuts, 0.5 cup",Nuts,Healthy,380,14,32,10,0,4
2/20/2018,Dessert,"Innofoods - Coconut Clusters, 60 g",Coconut Clusters,Neutral,320,22,26,6,120,14
2/21/2018,Breakfast,"Pizza - Meat, 2 slice",Pizza,Unhealthy,372,8,26,29,"1,174",6
2/21/2018,Lunch,"Pizza - Meat, 2 slice",Pizza,Unhealthy,372,8,26,29,"1,174",6
2/21/2018,Lunch,"Golden potatoes - Golden, 148 g/5.3oz",Potatoes,Neutral,110,26,0,3,0,1
2/21/2018,Lunch,"Asparagus - Raw, 1 cup",Asparagus,Healthy,27,5,0,3,3,3
2/21/2018,Dinner,"organic - grass fed beef, 0.5 lb(s)",Beef,Neutral,290,0,10,50,180,0
2/21/2018,Dinner,"Pasta - Angel Hair Pasta, 2 oz",Pasta,Unhealthy,200,42,1,7,0,2
2/21/2018,Dinner,"Broccoli, raw, 0.53 cup chopped",Broccoli,Healthy,16,3,0,1,16,1
2/21/2018,Dinner,"Onions, raw, 0.33 cup, chopped",Onions,Healthy,21,5,0,1,2,2
2/21/2018,Dinner,"Cashews - Cashews, 0.25 cup",Nuts,Healthy,170,7,14,6,0,0
2/21/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 2 bar",Granola Bar,Neutral,200,36,5,4,30,16
2/21/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/21/2018,Snacks,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/21/2018,Snacks,"Cashews - Cashews, 0.5 cup",Nuts,Healthy,340,14,28,12,0,0
2/22/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/22/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/22/2018,Breakfast,"Hannah - Taboule, 0.5 cup",Salad,Healthy,120,13,7,3,490,3
2/22/2018,Lunch,"Homemade - Baked Chicken Wings, 7 wing",Chicken Wings,Unhealthy,602,0,41,56,847,0
2/22/2018,Lunch,"Blue Cheese Dressing - Chunky, 2 Tbsp",Blue Cheese,Unhealthy,110,1,10,2,200,1
2/22/2018,Dinner,"Celentano - Ravioli, 10 ravioli",Ravioli,Unhealthy,575,90,15,23,625,5
2/22/2018,Dinner,"Homemade - Quick Tomato Sauce, 1.5 cup",Tomato Sauce,Neutral,180,18,7,6,131,12
2/22/2018,Dinner,"chickpeas - Chickpeas, 2 tablespoon",Chickpeas,Healthy,92,16,2,5,6,3
2/22/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/22/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/22/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/22/2018,Snacks,"Kind - Dark Chocolate Chunk Bar, 1 bar",Granola Bar,Neutral,150,25,5,3,65,9
2/22/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.5 cup",Whole Milk,Neutral,220,17,12,12,146,19
2/22/2018,Dessert,"Innofoods - Coconut Clusters, 22.5 g",Coconut Clusters,Neutral,120,8,10,2,45,5
2/22/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/23/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/23/2018,Breakfast,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/23/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
2/23/2018,Lunch,"Wegmans - Organic Ciabatta Roll, 1 Roll (78g)",Ciabatta Roll,Neutral,210,39,3,8,370,1
2/23/2018,Lunch,"ground Turkey - Turkey, 4 oz",Ground Turkey,Neutral,160,1,8,22,85,0
2/23/2018,Lunch,"Mayo - Mayo, 2 tablespoon",Mayo,Unhealthy,90,2,9,0,220,0
2/23/2018,Lunch,"Giorgio - Mushrooms, 3 oz",Mushrooms,Healthy,20,3,0,2,10,1
2/23/2018,Lunch,"Spinach - Raw, 0.33 cup",Spinach,Healthy,2,0,0,0,8,0
2/23/2018,Lunch,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
2/23/2018,Dinner,"the China - Chicken Lomein, 2 cup",Lo Mein,Unhealthy,556,66,18,31,"1,072",5
2/23/2018,Dessert,"Michigan Dining - Cream Puffs, 2 Cream Puff",Cream Puffs,Unhealthy,125,13,7,4,245,0
2/23/2018,Dessert,"Flan Custard - (Flan), 0.75 cup (153 g)",Custard,Unhealthy,335,53,9,11,122,53
2/23/2018,Dessert,"Croissants - Croissants, 1 croissant",Croissant,Unhealthy,100,32,17,5,350,4
2/23/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
2/24/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/24/2018,Breakfast,"Boar's Head - Gruyere Cheese, 1 oz",Gruyere Cheese,Unhealthy,110,0,9,7,150,0
2/24/2018,Breakfast,"Shredded hash browns - Shredded Hash Browns, 1 cup",Hash Browns,Unhealthy,70,16,0,1,0,0
2/24/2018,Lunch,"Chunk Light - Tuna Pack, 1 pouch (2.6oz/74g)",Fish,Healthy,70,0,1,17,300,0
2/24/2018,Lunch,"Primal Kitchen - Avocado Oil Mayo, 0.9 tablespoon",Mayo,Unhealthy,90,0,11,0,113,0
2/24/2018,Dinner,"Oliviera - Tortillini, 1.73 cup",Tortillini,Unhealthy,621,115,8,23,"1,242",9
2/24/2018,Dinner,"Homemade - Quick Tomato Sauce, 1 cup",Tomato Sauce,Neutral,120,12,5,4,88,8
2/24/2018,Snacks,"Simply Nature - Vanilla Chip Chewy Granola Bar (Corrected 7/15), 1 bar",Granola Bar,Neutral,100,18,3,2,15,8
2/24/2018,Snacks,"Kirlands - unsalted mixed nuts, 0.5 cup",Nuts,Healthy,380,14,32,10,0,4
2/24/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 1 can",Potato Chips,Unhealthy,210,23,12,2,230,1
2/24/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/24/2018,Snacks,"Milk - Whole, 3.25% milkfat, 0.75 cup",Whole Milk,Neutral,110,8,6,6,73,10
2/24/2018,Dessert,"Pas - Black and White Cookie, 1.5 oz",Cookies,Unhealthy,170,30,5,2,120,20
2/25/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/25/2018,Breakfast,"Tillamook - Cheddar Cheese - Medium, 1 oz (28g)",Cheddar Cheese,Unhealthy,110,0,9,7,170,0
2/25/2018,Breakfast,"Generic - Salmon Locks, 1 oz",Fish,Healthy,55,0,3,12,280,0
2/25/2018,Lunch,"Luke's - Lobster Roll, 0.5 sandwich",Lobster Roll,Neutral,150,14,10,14,0,0
2/25/2018,Lunch,"Del Taco - Fish Taco, 1 taco",Tacos,Unhealthy,280,27,17,7,560,2
2/25/2018,Lunch,"Baked Lay's - Sour Cream and Onion, 2 oz. (28g/About 14 chips)",Potato Chips,Unhealthy,260,48,7,4,380,6
2/25/2018,Dinner,"Fitfoodmeals.com - Red Curry Beef, 1 container",Beef Curry,Neutral,665,97,14,11,0,0
2/25/2018,Dinner,"Homemade - Veggie Fried Rice, 1.5 Cup",Fried Rice,Unhealthy,450,75,23,15,831,1
2/25/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 0.5 ea",Cookies,Unhealthy,85,12,4,1,60,8
2/25/2018,Snacks,"Cape Cod - Chips, 0.6 package (53.2 g)",Potato Chips,Unhealthy,156,20,7,2,138,1
2/25/2018,Snacks,"Oranges - Orange, 0.33 c",Oranges,Healthy,20,5,0,0,0,4
2/25/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 1 ea",Cookies,Unhealthy,170,24,7,2,120,15
2/25/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/25/2018,Dessert,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
2/26/2018,Breakfast,"Cuties - Clementines, 168 g (Approx 2)",Oranges,Healthy,80,17,1,1,0,13
2/26/2018,Lunch,"Cooked Mussels - Mussels, 4 Medium Mussel",Mussels,Neutral,48,1,2,4,216,0
2/26/2018,Lunch,"Great Value - Fish Fillets, 2 f fillets",Fish,Healthy,240,19,12,9,750,1
2/26/2018,Lunch,"Member's Mark - Angus Roast Beef-2 Slices, 50 slices",Beef,Neutral,575,0,0,100,"2,325",0
2/26/2018,Lunch,"Sushi - Edamane, 5 oz",Edamame,Healthy,100,9,3,7,260,2
2/26/2018,Dinner,"Goya - Cannellini Beans, 0.25 cup (122 g)",Cannellini Beans,Healthy,40,9,0,3,195,0
2/26/2018,Dinner,"Morrison - Brown Rice, 0.3 cup",Brown Rice,Healthy,74,15,1,2,24,0
2/26/2018,Dinner,"Black Beans, 0.25 cup",Black Beans,Healthy,55,10,1,4,5,1
2/26/2018,Dinner,"Smoked Cheese - Smoked Cheddar Cheese, 2 oz or 28grams",Cheddar Cheese,Unhealthy,120,0,10,8,200,0
2/26/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/26/2018,Dessert,"Innofoods - Coconut Clusters, 60 g",Coconut Clusters,Neutral,320,22,26,6,120,14
2/26/2018,Snacks,"Barber Foods - Chicken Parmesan, 0.9 piece",Chicken Parmesan,Unhealthy,225,12,13,18,441,2
2/26/2018,Snacks,"Smoked Cheese - Smoked Cheddar Cheese, 2 oz or 28grams",Cheddar Cheese,Unhealthy,120,0,10,8,200,0
2/26/2018,Snacks,"Homemade - Quick Tomato Sauce, 0.5 cup",Tomato Sauce,Neutral,60,6,2,2,44,4
2/26/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/26/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/27/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
2/27/2018,Lunch,"Barber Foods - Chicken Parmesan, 2.3 piece",Orange Chicken,Unhealthy,575,30,32,46,"1,127",5
2/27/2018,Lunch,"Pasta - Angel Hair Pasta, 1 oz",Pasta,Unhealthy,100,21,1,4,0,1
2/27/2018,Lunch,"Homemade - Quick Tomato Sauce, 0.5 cup",Tomato Sauce,Neutral,60,6,2,2,44,4
2/27/2018,Lunch,"Cheese - Mozzerella, 1 oz",Mozzerella Cheese,Unhealthy,70,0,6,6,177,0
2/27/2018,Dinner,"Chipotle (Chicken & Steak) - Burrito, 1 burrito",Burrito,Unhealthy,"1,270",131,48,82,"2,590",9
2/27/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
2/27/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/28/2018,Breakfast,"Egg - Egg, 2 large",Eggs,Healthy,143,1,10,13,142,0
2/28/2018,Breakfast,"Tillamook - Cheddar Cheese - Medium, 1 oz (28g)",Cheddar Cheese,Unhealthy,110,0,9,7,170,0
2/28/2018,Breakfast,"Generic - Salmon Locks, 1 oz",Fish,Healthy,55,0,3,12,280,0
2/28/2018,Lunch,"Luke's - Lobster Roll, 0.5 sandwich",Lobster Roll,Neutral,150,14,10,14,0,0
2/28/2018,Lunch,"Del Taco - Fish Taco, 1 taco",Tacos,Unhealthy,280,27,17,7,560,2
2/28/2018,Lunch,"Baked Lay's - Sour Cream and Onion, 2 oz. (28g/About 14 chips)",Potato Chips,Unhealthy,260,48,7,4,380,6
2/28/2018,Dinner,"Fitfoodmeals.com - Red Curry Beef, 1 container",Beef Curry,Neutral,665,97,14,11,0,0
2/28/2018,Dinner,"Homemade - Veggie Fried Rice, 1.5 Cup",Fried Rice,Unhealthy,450,75,23,15,831,1
2/28/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 0.5 ea",Cookies,Unhealthy,85,12,4,1,60,8
2/28/2018,Snacks,"Cape Cod - Chips, 0.6 package (53.2 g)",Potato Chips,Unhealthy,156,20,7,2,138,1
2/28/2018,Snacks,"Oranges - Orange, 0.33 c",Oranges,Healthy,20,5,0,0,0,4
2/28/2018,Dessert,"Outtakes - Chocolate Chip Cookies, 1 ea",Cookies,Unhealthy,170,24,7,2,120,15
2/28/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1 cup",Whole Milk,Neutral,146,11,8,8,98,13
2/28/2018,Dessert,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
3/1/2018,Breakfast,"Banana - Banana, 1 medium banana (126 g)",Banana,Healthy,105,27,0,1,1,14
3/1/2018,Breakfast,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
3/1/2018,Breakfast,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
3/1/2018,Lunch,"Wegmans - Organic Ciabatta Roll, 1 Roll (78g)",Ciabatta Roll,Neutral,210,39,3,8,370,1
3/1/2018,Lunch,"ground Turkey - Turkey, 4 oz",Ground Turkey,Neutral,160,1,8,22,85,0
3/1/2018,Lunch,"Mayo - Mayo, 2 tablespoon",Mayo,Unhealthy,90,2,9,0,220,0
3/1/2018,Lunch,"Giorgio - Mushrooms, 3 oz",Mushrooms,Healthy,20,3,0,2,10,1
3/1/2018,Lunch,"Spinach - Raw, 0.33 cup",Spinach,Healthy,2,0,0,0,8,0
3/1/2018,Lunch,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
3/1/2018,Dinner,"the China - Chicken Lomein, 2 cup",Lo Mein,Unhealthy,556,66,18,31,"1,072",5
3/1/2018,Dessert,"Michigan Dining - Cream Puffs, 2 Cream Puff",Cream Puffs,Unhealthy,125,13,7,4,245,0
3/1/2018,Dessert,"Flan Custard - (Flan), 0.75 cup (153 g)",Custard,Unhealthy,335,53,9,11,122,53
3/1/2018,Dessert,"Croissants - Croissants, 1 croissant",Croissant,Unhealthy,100,32,17,5,350,4
3/1/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
3/2/2018,Breakfast,"Egg - Egg, 1 large",Eggs,Healthy,72,0,5,6,71,0
3/2/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
3/2/2018,Breakfast,"ham - Honey Ham, 4 slices",Ham,Neutral,60,3,2,9,650,2
3/2/2018,Breakfast,"English muffin - English Muffin, 1 muffin",English Muffin,Unhealthy,120,25,1,4,200,1
3/2/2018,Breakfast,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
3/2/2018,Lunch,"Chinese - Teriyaki Chicken Stick, 2 Skewer",Teriyaki Chicken,Neutral,218,9,3,36,"2,244",5
3/2/2018,Lunch,"Grilled Veggies - Veggies, 2 cup",Veggies,Healthy,140,12,6,12,220,0
3/2/2018,Dinner,"Primefoods - Steamed Pork Buns, 3 piece",Pork Buns,Unhealthy,390,69,8,15,330,21
3/2/2018,Dinner,"Celentano - Ravioli, 4 ravioli",Ravioli,Unhealthy,230,36,6,9,250,2
3/2/2018,Dinner,"Priano - Pesto, 2 Tbsp",Pesto,Unhealthy,150,2,14,2,360,0
3/2/2018,Drinks,"Blue Moon - Wheat Ale, 12 oz",Beer,Unhealthy,168,14,0,2,15,0
3/2/2018,Snacks,"Chips - Popped Bbq, 20 chips",Potato Chips,Unhealthy,120,18,4,2,190,3
3/2/2018,Dessert,"Blueberries, 1 cup",Blueberries,Healthy,85,21,1,1,1,15
3/2/2018,Dessert,"Strawberries, raw, 1 cup, halves",Strawberries,Healthy,49,12,0,1,2,7
3/2/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 1 can",Potato Chips,Unhealthy,210,23,12,2,230,1
3/3/2018,Breakfast,"Walmart - Greek Nonfat Yogurt, 0.5 cup",Greek Yogurt,Healthy,60,5,0,12,58,5
3/3/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
3/3/2018,Breakfast,"Flax Seed - Flax Seeds, 0.5 tbsp",Flax Seeds,Healthy,35,2,3,1,0,0
3/3/2018,Breakfast,"Chia Seed, 0.5 tbsp",Chia Seeds,Healthy,30,3,2,2,0,0
3/3/2018,Lunch,"Chinese - Teriyaki Chicken Stick, 2 Skewer",Teriyaki Chicken,Neutral,218,9,3,36,"2,244",5
3/3/2018,Lunch,"Grilled Veggies - Veggies, 2 cup",Veggies,Healthy,140,12,6,12,220,0
3/3/2018,Dinner,"Spaghetti Warehouse - Spaghetti With Tomato Sauce, 2 dinner size",Speghetti,Neutral,340,156,6,30,610,0
3/3/2018,Dinner,"Grilled Veggies - Veggies, 2 cup",Veggies,Healthy,140,12,6,12,220,0
3/3/2018,Drinks,"Wine - Table, red, 4 glass (3.5 fl oz)",Red Wine,Unhealthy,297,7,0,1,21,0
3/3/2018,Snacks,"Health Warrior - Chia Bar Acai, 1 bar",Health Bar,Neutral,100,14,5,3,45,5
3/3/2018,Snacks,"Tostitos - Chips & Salsa, 26 chips",Chips & Salsa,Unhealthy,300,36,14,4,0,0
3/3/2018,Drinks,"Blue Moon - Wheat Ale, 36 oz",Beer,Unhealthy,504,42,0,6,45,0
3/3/2018,Snacks,"Pringles - Sour Cream & Onion (1.41oz), 0.67 can",Potato Chips,Unhealthy,140,15,8,1,153,1
3/4/2018,Breakfast,"Egg - Egg, 1 large",Eggs,Healthy,72,0,5,6,71,0
3/4/2018,Breakfast,"Tillamook - Sliced Swiss Cheese, 1 slice (28 g)",Swiss Cheese,Unhealthy,110,1,8,9,60,0
3/4/2018,Breakfast,"ham - Honey Ham, 4 slices",Ham,Neutral,60,3,2,9,650,2
3/4/2018,Breakfast,"English muffin - English Muffin, 1 muffin",English Muffin,Unhealthy,120,25,1,4,200,1
3/4/2018,Breakfast,"Ketchup - Heinz, 15 milliliter",Ketchup,Unhealthy,20,5,0,0,160,4
3/4/2018,Lunch,"Silk Creamy Cashew - Cashew Milk, 1.5 cup",Silk Milk,Neutral,90,14,4,1,255,11
3/4/2018,Lunch,"Brothers - Mozzarella Cheese Sticks, 3 Stick",Mozzarella Sticks,Unhealthy,306,24,18,15,738,0
3/4/2018,Lunch,"Gfs - Spanakopita, 2.25 pieces",Spanakopita,Unhealthy,128,13,8,2,135,1
3/4/2018,Lunch,"Taokaenoi - crispy seaweed spicy, 72 gram",Seaweed,Healthy,260,10,20,12,0,0
3/4/2018,Dinner,"Cici's Pizza - Ham Pizza, 4 slice",Pizza,Unhealthy,576,80,13,20,972,0
3/4/2018,Snacks,"Pure Protein - Whey Protein Vanilla, 1 scoop",Whey Protein,Neutral,150,8,3,25,100,2
3/4/2018,Snacks,"Milk - Whole, 3.25% milkfat, 1.25 cup",Whole Milk,Neutral,183,14,10,10,122,16
3/4/2018,Dessert,"Blueberries, 1 cup",Blueberries,Healthy,85,21,1,1,1,15
3/5/2018,Breakfast,"Walmart - Greek Nonfat Yogurt, 0.5 cup",Greek Yogurt,Healthy,60,5,0,12,58,5
3/5/2018,Breakfast,"Blueberries, 0.5 cup",Blueberries,Healthy,43,11,0,1,1,8
3/5/2018,Breakfast,"Flax Seed - Flax Seeds, 0.5 tbsp",Flax Seeds,Healthy,35,2,3,1,0,0
3/5/2018,Breakfast,"Chia Seed, 0.5 tbsp",Chia Seeds,Healthy,30,3,2,2,0,0
3/5/2018,Lunch,"Jersey Mike's - #7 Regular on Wheat, 1 sandwich- regular",Turkey Sandwich,Neutral,530,67,12,40,"1,580",8
3/5/2018,Lunch,"Jersey Mike's - Mike's Way, 1 Regular",Condiments,Neutral,290,9,28,2,120,5
3/5/2018,Dinner,"Allrecipes.com - Bhindi Masala, 1/2 recipe",Bhindi Masala,Healthy,200,32,8,7,"1,194",0
